  degree     sine     cosine    tangent
=========================================
       0    0.0000    1.0000    0.0000
       1    0.3089    0.9511    0.3247
       2    0.5875    0.8092    0.7261
       3    0.8087    0.5882    1.3750
       4    0.9509    0.3096    3.0710
       5    1.0000    0.0008 1255.7656
       6    0.9514   -0.3081   -3.0877
       7    0.8097   -0.5869   -1.3796
       8    0.5888   -0.8083   -0.7285
       9    0.3104   -0.9506   -0.3265
      10    0.0016   -1.0000   -0.0016
      11   -0.3074   -0.9516    0.3230
      12   -0.5862   -0.8101    0.7236
      13   -0.8078   -0.5895    1.3704
      14   -0.9504   -0.3111    3.0545
      15   -1.0000   -0.0024  418.5878
      16   -0.9518    0.3066   -3.1046
      17   -0.8106    0.5856   -1.3842
      18   -0.5901    0.8073   -0.7309
      19   -0.3119    0.9501   -0.3283
      20   -0.0032    1.0000   -0.0032
  degree     sine     cosine    tangent
=========================================
       0    0.0000    1.0000    0.0000
       1    0.3089    0.9511    0.3247
       2    0.5875    0.8092    0.7261
       3    0.8087    0.5882    1.3750
       4    0.9509    0.3096    3.0710
       5    1.0000    0.0008 1255.7656
       6    0.9514   -0.3081   -3.0877
       7    0.8097   -0.5869   -1.3796
       8    0.5888   -0.8083   -0.7285
       9    0.3104   -0.9506   -0.3265
      10    0.0016   -1.0000   -0.0016
      11   -0.3074   -0.9516    0.3230
      12   -0.5862   -0.8101    0.7236
      13   -0.8078   -0.5895    1.3704
      14   -0.9504   -0.3111    3.0545
      15   -1.0000   -0.0024  418.5878
      16   -0.9518    0.3066   -3.1046
      17   -0.8106    0.5856   -1.3842
      18   -0.5901    0.8073   -0.7309
      19   -0.3119    0.9501   -0.3283
      20   -0.0032    1.0000   -0.0032
  degree     sine     cosine    tangent
=========================================
       0    0.0000    1.0000    0.0000
       1    0.3089    0.9511    0.3247
       2    0.5875    0.8092    0.7261
       3    0.8087    0.5882    1.3750
       4    0.9509    0.3096    3.0710
       5    1.0000    0.0008 1255.7656
       6    0.9514   -0.3081   -3.0877
       7    0.8097   -0.5869   -1.3796
       8    0.5888   -0.8083   -0.7285
       9    0.3104   -0.9506   -0.3265
      10    0.0016   -1.0000   -0.0016
      11   -0.3074   -0.9516    0.3230
      12   -0.5862   -0.8101    0.7236
      13   -0.8078   -0.5895    1.3704
      14   -0.9504   -0.3111    3.0545
      15   -1.0000   -0.0024  418.5878
      16   -0.9518    0.3066   -3.1046
      17   -0.8106    0.5856   -1.3842
      18   -0.5901    0.8073   -0.7309
      19   -0.3119    0.9501   -0.3283
      20   -0.0032    1.0000   -0.0032
  degree     sine     cosine    tangent
=========================================
       0    0.0000    1.0000    0.0000
       1    0.3089    0.9511    0.3247
       2    0.5875    0.8092    0.7261
       3    0.8087    0.5882    1.3750
       4    0.9509    0.3096    3.0710
       5    1.0000    0.0008 1255.7656
       6    0.9514   -0.3081   -3.0877
       7    0.8097   -0.5869   -1.3796
       8    0.5888   -0.8083   -0.7285
       9    0.3104   -0.9506   -0.3265
      10    0.0016   -1.0000   -0.0016
      11   -0.3074   -0.9516    0.3230
      12   -0.5862   -0.8101    0.7236
      13   -0.8078   -0.5895    1.3704
      14   -0.9504   -0.3111    3.0545
      15   -1.0000   -0.0024  418.5878
      16   -0.9518    0.3066   -3.1046
      17   -0.8106    0.5856   -1.3842
      18   -0.5901    0.8073   -0.7309
      19   -0.3119    0.9501   -0.3283
      20   -0.0032    1.0000   -0.0032
  degree     sine     cosine    tangent
=========================================
       0    0.0000    1.0000    0.0000
       1    0.3089    0.9511    0.3247
       2    0.5875    0.8092    0.7261
       3    0.8087    0.5882    1.3750
       4    0.9509    0.3096    3.0710
       5    1.0000    0.0008 1255.7656
       6    0.9514   -0.3081   -3.0877
       7    0.8097   -0.5869   -1.3796
       8    0.5888   -0.8083   -0.7285
       9    0.3104   -0.9506   -0.3265
      10    0.0016   -1.0000   -0.0016
      11   -0.3074   -0.9516    0.3230
      12   -0.5862   -0.8101    0.7236
      13   -0.8078   -0.5895    1.3704
      14   -0.9504   -0.3111    3.0545
      15   -1.0000   -0.0024  418.5878
      16   -0.9518    0.3066   -3.1046
      17   -0.8106    0.5856   -1.3842
      18   -0.5901    0.8073   -0.7309
      19   -0.3119    0.9501   -0.3283
      20   -0.0032    1.0000   -0.0032
